date	day	sex	old	시도	region	chick	value
20150901	2	Female	over60	"서울특별시"	1	"치킨"	16
20150901	2	Female	10	"서울특별시"	1	"치킨"	20
20150901	2	Male	50	"서울특별시"	1	"치킨"	31
20150901	2	Female	20	"서울특별시"	1	"치킨"	100
20150901	2	Male	over60	"서울특별시"	1	"치킨"	13
20150901	2	Male	20	"서울특별시"	1	"치킨"	101
20150901	2	Male	10	"서울특별시"	1	"치킨"	27
20150901	2	Female	40	"서울특별시"	1	"치킨"	128
20150901	2	Male	40	"서울특별시"	1	"치킨"	76
20150901	2	Female	30	"서울특별시"	1	"치킨"	145
20150901	2	Male	30	"서울특별시"	1	"치킨"	191
20150901	2	Female	50	"서울특별시"	1	"치킨"	48
20150901	2	Male	10	"서울특별시"	2	"치킨"	20
20150901	2	Male	over60	"서울특별시"	2	"치킨"	5
20150901	2	Male	20	"서울특별시"	2	"치킨"	45
20150901	2	Female	50	"서울특별시"	2	"치킨"	26
20150901	2	Female	10	"서울특별시"	2	"치킨"	16
20150901	2	Male	50	"서울특별시"	2	"치킨"	25
20150901	2	Female	over60	"서울특별시"	2	"치킨"	11
20150901	2	Male	30	"서울특별시"	2	"치킨"	78
20150901	2	Female	30	"서울특별시"	2	"치킨"	79
20150901	2	Male	40	"서울특별시"	2	"치킨"	46
20150901	2	Female	40	"서울특별시"	2	"치킨"	85
20150901	2	Female	20	"서울특별시"	2	"치킨"	49
20150901	2	Female	10	"서울특별시"	3	"치킨"	9
20150901	2	Female	over60	"서울특별시"	3	"치킨"	11
20150901	2	Female	20	"서울특별시"	3	"치킨"	53
20150901	2	Male	50	"서울특별시"	3	"치킨"	19
20150901	2	Male	10	"서울특별시"	3	"치킨"	27
20150901	2	Female	50	"서울특별시"	3	"치킨"	25
20150901	2	Male	over60	"서울특별시"	3	"치킨"	5
20150901	2	Female	30	"서울특별시"	3	"치킨"	45
20150901	2	Male	30	"서울특별시"	3	"치킨"	71
20150901	2	Female	40	"서울특별시"	3	"치킨"	86
20150901	2	Male	40	"서울특별시"	3	"치킨"	39
20150901	2	Male	20	"서울특별시"	3	"치킨"	61
20150901	2	Female	over60	"서울특별시"	4	"치킨"	17
20150901	2	Female	10	"서울특별시"	4	"치킨"	24
20150901	2	Male	40	"서울특별시"	4	"치킨"	76
20150901	2	Male	30	"서울특별시"	4	"치킨"	136
20150901	2	Male	over60	"서울특별시"	4	"치킨"	13
20150901	2	Female	30	"서울특별시"	4	"치킨"	141
20150901	2	Male	10	"서울특별시"	4	"치킨"	34
20150901	2	Female	50	"서울특별시"	4	"치킨"	51
20150901	2	Male	50	"서울특별시"	4	"치킨"	31
20150901	2	Male	20	"서울특별시"	4	"치킨"	91
20150901	2	Female	20	"서울특별시"	4	"치킨"	77
20150901	2	Female	40	"서울특별시"	4	"치킨"	122
20150901	2	Male	over60	"서울특별시"	5	"치킨"	11
20150901	2	Male	10	"서울특별시"	5	"치킨"	22
20150901	2	Female	40	"서울특별시"	5	"치킨"	66
20150901	2	Female	30	"서울특별시"	5	"치킨"	112
20150901	2	Female	over60	"서울특별시"	5	"치킨"	9
20150901	2	Male	30	"서울특별시"	5	"치킨"	110
20150901	2	Female	10	"서울특별시"	5	"치킨"	12
20150901	2	Male	50	"서울특별시"	5	"치킨"	19
20150901	2	Female	50	"서울특별시"	5	"치킨"	23
20150901	2	Female	20	"서울특별시"	5	"치킨"	87
20150901	2	Male	20	"서울특별시"	5	"치킨"	125
20150901	2	Male	40	"서울특별시"	5	"치킨"	33
20150901	2	Male	10	"서울특별시"	6	"치킨"	12
20150901	2	Male	over60	"서울특별시"	6	"치킨"	10
20150901	2	Male	20	"서울특별시"	6	"치킨"	64
20150901	2	Female	50	"서울특별시"	6	"치킨"	17
20150901	2	Female	10	"서울특별시"	6	"치킨"	21
20150901	2	Male	50	"서울특별시"	6	"치킨"	23
20150901	2	Female	over60	"서울특별시"	6	"치킨"	7
20150901	2	Male	30	"서울특별시"	6	"치킨"	58
20150901	2	Female	30	"서울특별시"	6	"치킨"	62
20150901	2	Male	40	"서울특별시"	6	"치킨"	39
20150901	2	Female	40	"서울특별시"	6	"치킨"	42
20150901	2	Female	20	"서울특별시"	6	"치킨"	48
20150901	2	Female	over60	"서울특별시"	7	"치킨"	8
20150901	2	Female	10	"서울특별시"	7	"치킨"	13
20150901	2	Male	40	"서울특별시"	7	"치킨"	48
20150901	2	Male	30	"서울특별시"	7	"치킨"	90
20150901	2	Male	over60	"서울특별시"	7	"치킨"	9
20150901	2	Female	30	"서울특별시"	7	"치킨"	96
20150901	2	Male	10	"서울특별시"	7	"치킨"	28
20150901	2	Female	50	"서울특별시"	7	"치킨"	18
20150901	2	Male	50	"서울특별시"	7	"치킨"	20
20150901	2	Male	20	"서울특별시"	7	"치킨"	69
20150901	2	Female	20	"서울특별시"	7	"치킨"	52
20150901	2	Female	40	"서울특별시"	7	"치킨"	74
20150901	2	Male	over60	"서울특별시"	8	"치킨"	5
20150901	2	Male	10	"서울특별시"	8	"치킨"	10
20150901	2	Female	40	"서울특별시"	8	"치킨"	40
20150901	2	Female	30	"서울특별시"	8	"치킨"	44
20150901	2	Female	over60	"서울특별시"	8	"치킨"	5
20150901	2	Male	30	"서울특별시"	8	"치킨"	50
20150901	2	Female	10	"서울특별시"	8	"치킨"	15
20150901	2	Male	50	"서울특별시"	8	"치킨"	19
20150901	2	Female	50	"서울특별시"	8	"치킨"	18
20150901	2	Female	20	"서울특별시"	8	"치킨"	32
