geneName	geneID	hour	value
Os03g0572050	1	1	0.749252893983
Os03g0572050	1	2	2.232372158
Os03g0572050	1	3	2.5587425905
Os02g0699836	2	1	0
Os02g0699836	2	2	6.1086658107
Os02g0699836	2	3	1.53258183026
Os09g0322500	3	1	0.0880031767747
Os09g0322500	3	2	1.75075803636
Os09g0322500	3	3	1.71551633738
Os11g0243750	4	1	-0.781581365389
Os11g0243750	4	2	3.15334946085
Os11g0243750	4	3	1.1763641209
Os08g0307601	5	1	-0.810195116625
Os08g0307601	5	2	2.28312625387
Os08g0307601	5	3	1.86283979008
Os08g0170700	6	1	0.584707202004
Os08g0170700	6	2	2.79100940986
Os08g0170700	6	3	2.07870383051
Os01g0190400	7	1	0.319145551014
Os01g0190400	7	2	2.32322866994
Os01g0190400	7	3	1.20875201001
Os12g0130300	8	1	-0.430339915401
Os12g0130300	8	2	3.41966436502
Os12g0130300	8	3	1.00347084763
Os06g0105100	9	1	0
Os06g0105100	9	2	4.21027196026
Os06g0105100	9	3	1.99953842349
Os01g0960600	10	1	0.431783338517
Os01g0960600	10	2	1.68779371986
Os01g0960600	10	3	2.2647167966
Os08g0424100	11	1	0.374274138344
Os08g0424100	11	2	1.51920161468
Os08g0424100	11	3	1.35541141938
Os06g0542300	12	1	-0.545325278888
Os06g0542300	12	2	1.7220287979
Os06g0542300	12	3	1.54444274256
Os06g0221300	13	1	0.595466165391
Os06g0221300	13	2	6.76945439606
Os06g0221300	13	3	1.69272492762
Os01g0550800	14	1	0.873283241986
Os01g0550800	14	2	2.96358864145
Os01g0550800	14	3	2.49419786421
Os05g0535400	15	1	-0.0762418320349
Os05g0535400	15	2	3.06716624874
Os05g0535400	15	3	1.57337399854
Os01g0551800	16	1	0.496512625627
Os01g0551800	16	2	1.92845732706
Os01g0551800	16	3	2.52963091765
Os01g0940700	17	1	0.692943665385
Os01g0940700	17	2	1.46900652995
Os01g0940700	17	3	2.21592145692
Os07g0572850	18	1	0.988747788057
Os07g0572850	18	2	3.87115367034
Os07g0572850	18	3	1.98704572034
Os03g0391100	19	1	0.421792185795
Os03g0391100	19	2	3.39691675172
Os03g0391100	19	3	5.0577448465
Os04g0568500	20	1	0.98289735519
Os04g0568500	20	2	1.82997374815
Os04g0568500	20	3	1.569466171
Os07g0525900	21	1	0.634693329636
Os07g0525900	21	2	6.83605836589
Os07g0525900	21	3	4.15267018565
Os10g0141400	22	1	0
Os10g0141400	22	2	4.7824242919
Os10g0141400	22	3	2.00427713242
Os01g0326300	23	1	0.0219168609455
Os01g0326300	23	2	2.20333454281
Os01g0326300	23	3	1.13823698931
Os07g0609550	24	1	0.146575772687
Os07g0609550	24	2	3.14840721652
Os07g0609550	24	3	5.45039307797
Os04g0460600	25	1	-0.0432093490951
Os04g0460600	25	2	1.64486840962
Os04g0460600	25	3	1.32878868769
