day	hour	value
1	1	766
1	2	644
2	1	761
2	2	293
3	1	370
3	2	162
4	1	203
4	2	193
5	1	800
5	2	999
6	1	388
6	2	856
7	1	124
7	2	578
8	1	321
8	2	603
9	1	789
9	2	941
10	1	222
10	2	317
11	1	993
11	2	890
12	1	836
12	2	433
13	1	212
13	2	667
14	1	451
14	2	604
15	1	133
15	2	744
16	1	606
16	2	640
17	1	421
17	2	217
18	1	515
18	2	336
19	1	673
19	2	736
20	1	675
20	2	942
21	1	506
21	2	949
22	1	764
22	2	636
23	1	187
23	2	261
24	1	596
24	2	189
25	1	150
25	2	772
26	1	167
26	2	840
27	1	112
27	2	345
28	1	414
28	2	775
29	1	967
29	2	509
30	1	517
30	2	360
31	1	830
31	2	222
32	1	879
32	2	278
33	1	940
33	2	607
34	1	807
34	2	653
35	1	960
35	2	787
36	1	939
36	2	199
37	1	184
37	2	331
38	1	161
38	2	599
39	1	958
39	2	992
40	1	499
40	2	189
41	1	819
41	2	640
42	1	972
42	2	108
43	1	789
43	2	683
44	1	962
44	2	984
45	1	786
45	2	234
46	1	731
46	2	852
47	1	264
47	2	977
48	1	361
48	2	885
49	1	367
49	2	792
50	1	804
50	2	478
